,iter,dataset,hyperparameters,roc_auc
0,0,spam,"{'model__ccp_alpha': 0.46854101127480363, 'model__max_depth': 24, 'model__min_samples_leaf': 7, 'model__min_samples_split': 6, 'model__random_state': 42}",0.5
1,1,spam,"{'model__ccp_alpha': 0.9432285529665488, 'model__max_depth': 28, 'model__min_samples_leaf': 9, 'model__min_samples_split': 18, 'model__random_state': 42}",0.5
2,2,spam,"{'model__ccp_alpha': 0.6322596806301894, 'model__max_depth': 26, 'model__min_samples_leaf': 48, 'model__min_samples_split': 19, 'model__random_state': 42}",0.5
3,3,spam,"{'model__ccp_alpha': 0.5559221181853791, 'model__max_depth': 7, 'model__min_samples_leaf': 40, 'model__min_samples_split': 48, 'model__random_state': 42}",0.5
4,4,spam,"{'model__ccp_alpha': 0.5148839408871806, 'model__max_depth': 9, 'model__min_samples_leaf': 20, 'model__min_samples_split': 24, 'model__random_state': 42}",0.5
5,5,spam,"{'model__ccp_alpha': 0.9680269132537433, 'model__max_depth': 9, 'model__min_samples_leaf': 6, 'model__min_samples_split': 6, 'model__random_state': 42}",0.5
6,6,spam,"{'model__ccp_alpha': 0.3828881580024156, 'model__max_depth': 16, 'model__min_samples_leaf': 20, 'model__min_samples_split': 44, 'model__random_state': 42}",0.5
7,7,spam,"{'model__ccp_alpha': 0.2862143388128718, 'model__max_depth': 2, 'model__min_samples_leaf': 41, 'model__min_samples_split': 45, 'model__random_state': 42}",0.5
8,8,spam,"{'model__ccp_alpha': 0.4613718612558083, 'model__max_depth': 14, 'model__min_samples_leaf': 44, 'model__min_samples_split': 9, 'model__random_state': 42}",0.5
9,9,spam,"{'model__ccp_alpha': 0.21664435195089232, 'model__max_depth': 14, 'model__min_samples_leaf': 49, 'model__min_samples_split': 10, 'model__random_state': 42}",0.5
10,10,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9316310063082487
11,11,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42}",0.7546392940704314
12,12,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 60, 'model__random_state': 42}",0.7546392940704314
13,13,spam,"{'model__ccp_alpha': 0.026310258338385618, 'model__max_depth': 13, 'model__min_samples_leaf': 60, 'model__min_samples_split': 58, 'model__random_state': 42}",0.8556673496078574
14,14,spam,"{'model__ccp_alpha': 0.9950639644130063, 'model__max_depth': 8, 'model__min_samples_leaf': 59, 'model__min_samples_split': 14, 'model__random_state': 42}",0.5
15,15,spam,"{'model__ccp_alpha': 0.03248711330060432, 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42}",0.8475507891653893
16,16,spam,"{'model__ccp_alpha': 0.011320713194718762, 'model__max_depth': 30, 'model__min_samples_leaf': 60, 'model__min_samples_split': 2, 'model__random_state': 42}",0.8787356250272822
17,17,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 23, 'model__min_samples_leaf': 1, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9275519714901813
18,18,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 27, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9316310063082487
19,19,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 29, 'model__min_samples_leaf': 1, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9275519714901813
20,20,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 26, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9316310063082487
21,21,spam,"{'model__ccp_alpha': 0.00020277754485187321, 'model__max_depth': 18, 'model__min_samples_leaf': 43, 'model__min_samples_split': 5, 'model__random_state': 42}",0.9337749075671361
22,22,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 20, 'model__min_samples_leaf': 60, 'model__min_samples_split': 26, 'model__random_state': 42}",0.9316310063082487
23,23,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 17, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9316310063082487
24,24,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 16, 'model__min_samples_leaf': 60, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9316310063082487
25,25,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9316310063082487
26,26,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 17, 'model__min_samples_leaf': 60, 'model__min_samples_split': 26, 'model__random_state': 42}",0.9316310063082487
27,27,spam,"{'model__ccp_alpha': 0.8020817718301291, 'model__max_depth': 1, 'model__min_samples_leaf': 18, 'model__min_samples_split': 44, 'model__random_state': 42}",0.5
28,28,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 60, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9316310063082487
29,29,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 18, 'model__min_samples_leaf': 60, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9316310063082487
30,30,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 18, 'model__min_samples_leaf': 60, 'model__min_samples_split': 27, 'model__random_state': 42}",0.9316310063082487
31,31,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 20, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9316310063082487
32,32,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 28, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9385959455238536
33,33,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 24, 'model__min_samples_leaf': 26, 'model__min_samples_split': 16, 'model__random_state': 42}",0.936628517281255
34,34,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 36, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9362999344994938
35,35,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 26, 'model__min_samples_leaf': 38, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9339166537161916
36,36,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 21, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9359571432866204
37,37,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 27, 'model__min_samples_leaf': 20, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9354438618338792
38,38,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 24, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9368773086942959
39,39,spam,"{'model__ccp_alpha': 0.10963578473452762, 'model__max_depth': 2, 'model__min_samples_leaf': 2, 'model__min_samples_split': 47, 'model__random_state': 42}",0.7546392940704314
40,40,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 22, 'model__min_samples_leaf': 21, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9359571432866204
41,41,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 31, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9382913312240302
42,42,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9385959455238536
43,43,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 20, 'model__min_samples_leaf': 31, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9382913312240302
44,44,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 18, 'model__min_samples_leaf': 32, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9383267598339161
45,45,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9385959455238536
46,46,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 17, 'model__min_samples_leaf': 31, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9382913312240302
47,47,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 3, 'model__min_samples_leaf': 60, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9003840149300213
48,48,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 31, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9382913312240302
49,49,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 28, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9365774153480759
50,50,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 16, 'model__min_samples_leaf': 33, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9355294736920167
51,51,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 29, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9374684179624089
52,52,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 31, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9382913312240302
53,53,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 29, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9385959455238536
54,54,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 31, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9382913312240302
55,55,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 31, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9382913312240302
56,56,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 28, 'model__min_samples_leaf': 28, 'model__min_samples_split': 60, 'model__random_state': 42}",0.937039510181665
57,57,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 32, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9383267598339161
58,58,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 31, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9382913312240302
59,59,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 31, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9382913312240302
60,60,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 32, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9383267598339161
61,61,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 31, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9382913312240302
62,62,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 18, 'model__min_samples_leaf': 31, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9382913312240302
63,63,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 31, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9382913312240302
64,64,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 31, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9382913312240302
65,65,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 31, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9382913312240302
66,66,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 31, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9382913312240302
67,67,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 31, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9382913312240302
68,68,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 18, 'model__min_samples_leaf': 31, 'model__min_samples_split': 14, 'model__random_state': 42}",0.9382913312240302
69,69,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 31, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9382913312240302
70,70,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 18, 'model__min_samples_leaf': 31, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9382913312240302
71,71,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9385959455238536
72,72,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 31, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9382913312240302
73,73,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9385959455238536
74,74,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 32, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9383267598339161
75,75,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9385959455238536
76,76,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 31, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9382913312240302
77,77,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 31, 'model__min_samples_split': 58, 'model__random_state': 42}",0.9382913312240302
78,78,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9385959455238536
79,79,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9385959455238536
80,80,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9385959455238536
81,81,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9385959455238536
82,82,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 31, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9382913312240302
83,83,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9385959455238536
84,84,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 18, 'model__min_samples_leaf': 32, 'model__min_samples_split': 19, 'model__random_state': 42}",0.9383267598339161
85,85,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 31, 'model__min_samples_split': 55, 'model__random_state': 42}",0.9382913312240302
86,86,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9385959455238536
87,87,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 31, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9382913312240302
88,88,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9385959455238536
89,89,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 29, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9374567874625012
90,90,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 30, 'model__min_samples_split': 15, 'model__random_state': 42}",0.9385959455238536
91,91,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 33, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9355294736920167
92,92,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 30, 'model__min_samples_split': 57, 'model__random_state': 42}",0.9385959455238536
93,93,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 30, 'model__min_samples_split': 57, 'model__random_state': 42}",0.9385959455238536
94,94,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 30, 'model__min_samples_split': 57, 'model__random_state': 42}",0.9385959455238536
95,95,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 30, 'model__min_samples_split': 5, 'model__random_state': 42}",0.9385959455238536
96,96,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 30, 'model__min_samples_split': 10, 'model__random_state': 42}",0.9385959455238536
97,97,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 29, 'model__min_samples_leaf': 28, 'model__min_samples_split': 60, 'model__random_state': 42}",0.937039510181665
98,98,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 30, 'model__min_samples_split': 6, 'model__random_state': 42}",0.9385959455238536
99,99,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 30, 'model__min_samples_split': 54, 'model__random_state': 42}",0.9385959455238536
100,0,mt,"{'model__ccp_alpha': 0.6163510635620079, 'model__max_depth': 28, 'model__min_samples_leaf': 42, 'model__min_samples_split': 50, 'model__random_state': 42}",0.5
101,1,mt,"{'model__ccp_alpha': 0.6884728301193065, 'model__max_depth': 15, 'model__min_samples_leaf': 22, 'model__min_samples_split': 2, 'model__random_state': 42}",0.5
102,2,mt,"{'model__ccp_alpha': 0.04617760546238615, 'model__max_depth': 4, 'model__min_samples_leaf': 17, 'model__min_samples_split': 12, 'model__random_state': 42}",0.7629625710925081
103,3,mt,"{'model__ccp_alpha': 0.06062282016261934, 'model__max_depth': 18, 'model__min_samples_leaf': 22, 'model__min_samples_split': 51, 'model__random_state': 42}",0.7236918115507313
104,4,mt,"{'model__ccp_alpha': 0.37435975768087265, 'model__max_depth': 27, 'model__min_samples_leaf': 48, 'model__min_samples_split': 57, 'model__random_state': 42}",0.5
105,5,mt,"{'model__ccp_alpha': 0.5668441758362069, 'model__max_depth': 10, 'model__min_samples_leaf': 11, 'model__min_samples_split': 13, 'model__random_state': 42}",0.5
106,6,mt,"{'model__ccp_alpha': 0.981428688309013, 'model__max_depth': 29, 'model__min_samples_leaf': 45, 'model__min_samples_split': 8, 'model__random_state': 42}",0.5
107,7,mt,"{'model__ccp_alpha': 0.2671074749247468, 'model__max_depth': 25, 'model__min_samples_leaf': 13, 'model__min_samples_split': 18, 'model__random_state': 42}",0.5
108,8,mt,"{'model__ccp_alpha': 0.0651914288551655, 'model__max_depth': 6, 'model__min_samples_leaf': 12, 'model__min_samples_split': 13, 'model__random_state': 42}",0.7236918115507313
109,9,mt,"{'model__ccp_alpha': 0.3177714053663587, 'model__max_depth': 2, 'model__min_samples_leaf': 52, 'model__min_samples_split': 14, 'model__random_state': 42}",0.5
110,10,mt,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 60, 'model__min_samples_split': 2, 'model__random_state': 42}",0.8913426158353573
111,11,mt,"{'model__ccp_alpha': 0.0, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42}",0.7236918115507313
112,12,mt,"{'model__ccp_alpha': 0.0, 'model__max_depth': 2, 'model__min_samples_leaf': 60, 'model__min_samples_split': 44, 'model__random_state': 42}",0.7988443927551281
113,13,mt,"{'model__ccp_alpha': 0.0, 'model__max_depth': 1, 'model__min_samples_leaf': 50, 'model__min_samples_split': 2, 'model__random_state': 42}",0.7236918115507313
114,14,mt,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.8913426158353573
115,15,mt,"{'model__ccp_alpha': 0.053702275676310474, 'model__max_depth': 30, 'model__min_samples_leaf': 60, 'model__min_samples_split': 55, 'model__random_state': 42}",0.7236918115507313
116,16,mt,"{'model__ccp_alpha': 0.0, 'model__max_depth': 28, 'model__min_samples_leaf': 50, 'model__min_samples_split': 30, 'model__random_state': 42}",0.8902318600561184
117,17,mt,"{'model__ccp_alpha': 0.0, 'model__max_depth': 22, 'model__min_samples_leaf': 1, 'model__min_samples_split': 60, 'model__random_state': 42}",0.8816602458060288
118,18,mt,"{'model__ccp_alpha': 0.8374148103935715, 'model__max_depth': 1, 'model__min_samples_leaf': 55, 'model__min_samples_split': 60, 'model__random_state': 42}",0.5
119,19,mt,"{'model__ccp_alpha': 0.012031716830641035, 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42}",0.8018469906057645
120,20,mt,"{'model__ccp_alpha': 0.0, 'model__max_depth': 24, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.8913426158353573
121,21,mt,"{'model__ccp_alpha': 0.0, 'model__max_depth': 25, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.8913426158353573
122,22,mt,"{'model__ccp_alpha': 0.1606888473390146, 'model__max_depth': 1, 'model__min_samples_leaf': 58, 'model__min_samples_split': 60, 'model__random_state': 42}",0.5
123,23,mt,"{'model__ccp_alpha': 0.0, 'model__max_depth': 16, 'model__min_samples_leaf': 26, 'model__min_samples_split': 60, 'model__random_state': 42}",0.8894338227298896
124,24,mt,"{'model__ccp_alpha': 1.0, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 60, 'model__random_state': 42}",0.5
125,25,mt,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 60, 'model__min_samples_split': 29, 'model__random_state': 42}",0.8913426158353573
126,26,mt,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60, 'model__random_state': 42}",0.8888537463538746
127,27,mt,"{'model__ccp_alpha': 0.0, 'model__max_depth': 23, 'model__min_samples_leaf': 34, 'model__min_samples_split': 60, 'model__random_state': 42}",0.8911592804027993
128,28,mt,"{'model__ccp_alpha': 0.0, 'model__max_depth': 24, 'model__min_samples_leaf': 60, 'model__min_samples_split': 10, 'model__random_state': 42}",0.8913426158353573
129,29,mt,"{'model__ccp_alpha': 0.8133667146897418, 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42}",0.5
130,30,mt,"{'model__ccp_alpha': 0.4633681345743863, 'model__max_depth': 1, 'model__min_samples_leaf': 3, 'model__min_samples_split': 2, 'model__random_state': 42}",0.5
131,31,mt,"{'model__ccp_alpha': 0.0, 'model__max_depth': 21, 'model__min_samples_leaf': 60, 'model__min_samples_split': 38, 'model__random_state': 42}",0.8913426158353573
132,32,mt,"{'model__ccp_alpha': 0.011896633862318805, 'model__max_depth': 14, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.8018469906057645
