dataset,model,score,hyperparameters,iteration
digits,KNN,0.9483,"{'weights': 'distance', 'p': 1, 'n_neighbors': 19}",5
digits,KNN,0.9583,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 8}",6
digits,KNN,0.9672,"{'weights': 'distance', 'p': 2, 'n_neighbors': 4}",7
digits,KNN,0.9638,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 4}",8
digits,KNN,0.9449,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 13}",9
digits,KNN,0.9472,"{'weights': 'distance', 'p': 1, 'n_neighbors': 20}",10
digits,KNN,0.9561,"{'weights': 'distance', 'p': 2, 'n_neighbors': 15}",11
digits,KNN,0.9416,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 19}",12
digits,KNN,0.9471,"{'weights': 'distance', 'p': 1, 'n_neighbors': 26}",13
digits,KNN,0.9516,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 2}",14
digits,KNN,0.9594,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 6}",15
digits,KNN,0.951,"{'weights': 'distance', 'p': 1, 'n_neighbors': 15}",16
digits,KNN,0.9405,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 22}",17
digits,KNN,0.9505,"{'weights': 'distance', 'p': 2, 'n_neighbors': 27}",18
digits,KNN,0.9533,"{'weights': 'distance', 'p': 2, 'n_neighbors': 24}",19
digits,KNN,0.9505,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 11}",20
digits,KNN,0.9533,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 5}",21
digits,KNN,0.9588,"{'weights': 'distance', 'p': 2, 'n_neighbors': 9}",22
digits,KNN,0.9494,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 18}",23
digits,KNN,0.9488,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 24}",24
digits,KNN,0.9533,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 17}",25
digits,KNN,0.9599,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 7}",26
digits,KNN,0.9494,"{'weights': 'distance', 'p': 1, 'n_neighbors': 23}",27
digits,KNN,0.9483,"{'weights': 'distance', 'p': 1, 'n_neighbors': 22}",28
digits,KNN,0.9477,"{'weights': 'distance', 'p': 1, 'n_neighbors': 21}",29
digits,KNN,0.9633,"{'weights': 'distance', 'p': 2, 'n_neighbors': 5}",30
digits,KNN,0.9566,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 9}",31
digits,KNN,0.951,"{'weights': 'distance', 'p': 1, 'n_neighbors': 13}",32
digits,KNN,0.9594,"{'weights': 'distance', 'p': 1, 'n_neighbors': 4}",33
digits,KNN,0.9527,"{'weights': 'distance', 'p': 1, 'n_neighbors': 10}",34
digits,KNN,0.9449,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 16}",35
digits,KNN,0.9421,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 18}",36
digits,KNN,0.9561,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 9}",37
digits,KNN,0.9516,"{'weights': 'distance', 'p': 2, 'n_neighbors': 21}",38
digits,KNN,0.9577,"{'weights': 'distance', 'p': 1, 'n_neighbors': 3}",39
digits,KNN,0.951,"{'weights': 'distance', 'p': 2, 'n_neighbors': 28}",40
digits,KNN,0.9505,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 19}",41
digits,KNN,0.9588,"{'weights': 'distance', 'p': 2, 'n_neighbors': 11}",42
digits,KNN,0.9588,"{'weights': 'distance', 'p': 2, 'n_neighbors': 10}",43
digits,KNN,0.951,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 6}",44
digits,KNN,0.9449,"{'weights': 'distance', 'p': 1, 'n_neighbors': 28}",45
digits,KNN,0.9549,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 10}",46
digits,KNN,0.941,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 29}",47
digits,KNN,0.9661,"{'weights': 'distance', 'p': 2, 'n_neighbors': 3}",48
digits,KNN,0.9588,"{'weights': 'distance', 'p': 2, 'n_neighbors': 12}",49
digits,RandomForest,0.9221,"{'n_estimators': 1350, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_depth': 60, 'bootstrap': True}",0
digits,RandomForest,0.9299,"{'n_estimators': 1300, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_depth': 10, 'bootstrap': True}",1
digits,RandomForest,0.9232,"{'n_estimators': 400, 'min_samples_split': 6, 'min_samples_leaf': 9, 'max_depth': 40, 'bootstrap': False}",2
digits,RandomForest,0.9227,"{'n_estimators': 250, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_depth': 100, 'bootstrap': False}",3
digits,RandomForest,0.9338,"{'n_estimators': 400, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_depth': 70, 'bootstrap': False}",4
digits,RandomForest,0.9371,"{'n_estimators': 1900, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 50, 'bootstrap': True}",5
digits,RandomForest,0.931,"{'n_estimators': 1750, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_depth': 30, 'bootstrap': True}",6
digits,RandomForest,0.9355,"{'n_estimators': 900, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 70, 'bootstrap': True}",7
digits,RandomForest,0.9299,"{'n_estimators': 1600, 'min_samples_split': 4, 'min_samples_leaf': 6, 'max_depth': 40, 'bootstrap': False}",8
digits,RandomForest,0.9405,"{'n_estimators': 1900, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 90, 'bootstrap': True}",9
digits,RandomForest,0.9366,"{'n_estimators': 1750, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_depth': 80, 'bootstrap': False}",10
digits,RandomForest,0.9394,"{'n_estimators': 750, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 70, 'bootstrap': False}",11
digits,RandomForest,0.9238,"{'n_estimators': 1350, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_depth': 60, 'bootstrap': True}",12
digits,RandomForest,0.9427,"{'n_estimators': 700, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 60, 'bootstrap': False}",13
digits,RandomForest,0.9249,"{'n_estimators': 750, 'min_samples_split': 6, 'min_samples_leaf': 6, 'max_depth': 10, 'bootstrap': True}",14
digits,RandomForest,0.9321,"{'n_estimators': 550, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_depth': 10, 'bootstrap': True}",15
digits,RandomForest,0.9199,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_depth': 10, 'bootstrap': True}",16
digits,RandomForest,0.9188,"{'n_estimators': 1550, 'min_samples_split': 5, 'min_samples_leaf': 9, 'max_depth': 20, 'bootstrap': True}",17
digits,RandomForest,0.926,"{'n_estimators': 550, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_depth': 40, 'bootstrap': False}",18
digits,RandomForest,0.9321,"{'n_estimators': 600, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_depth': 50, 'bootstrap': False}",19
digits,RandomForest,0.931,"{'n_estimators': 700, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_depth': 70, 'bootstrap': True}",20
digits,RandomForest,0.9271,"{'n_estimators': 750, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_depth': 100, 'bootstrap': False}",21
digits,RandomForest,0.931,"{'n_estimators': 550, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 80, 'bootstrap': True}",22
digits,RandomForest,0.9249,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_depth': 10, 'bootstrap': False}",23
digits,RandomForest,0.9282,"{'n_estimators': 700, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 30, 'bootstrap': True}",24
digits,RandomForest,0.9421,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': False}",25
digits,RandomForest,0.9377,"{'n_estimators': 800, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_depth': 60, 'bootstrap': False}",26
digits,RandomForest,0.9277,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 100, 'bootstrap': True}",27
digits,RandomForest,0.9188,"{'n_estimators': 1000, 'min_samples_split': 4, 'min_samples_leaf': 9, 'max_depth': 70, 'bootstrap': True}",28
digits,RandomForest,0.9227,"{'n_estimators': 150, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_depth': 70, 'bootstrap': True}",29
digits,RandomForest,0.941,"{'n_estimators': 650, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': True}",30
digits,RandomForest,0.9382,"{'n_estimators': 1950, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': True}",31
digits,RandomForest,0.921,"{'n_estimators': 300, 'min_samples_split': 9, 'min_samples_leaf': 9, 'max_depth': 70, 'bootstrap': True}",32
digits,RandomForest,0.9394,"{'n_estimators': 850, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_depth': 40, 'bootstrap': False}",33
digits,RandomForest,0.9238,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 7, 'max_depth': 100, 'bootstrap': False}",34
digits,RandomForest,0.9243,"{'n_estimators': 1950, 'min_samples_split': 3, 'min_samples_leaf': 7, 'max_depth': 10, 'bootstrap': True}",35
digits,RandomForest,0.9249,"{'n_estimators': 750, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_depth': 10, 'bootstrap': True}",36
digits,RandomForest,0.9327,"{'n_estimators': 650, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_depth': 20, 'bootstrap': False}",37
digits,RandomForest,0.9338,"{'n_estimators': 1400, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_depth': 90, 'bootstrap': False}",38
digits,RandomForest,0.9371,"{'n_estimators': 1700, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 50, 'bootstrap': True}",39
digits,RandomForest,0.9305,"{'n_estimators': 1200, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_depth': 20, 'bootstrap': True}",40
digits,RandomForest,0.9299,"{'n_estimators': 800, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",41
digits,RandomForest,0.9355,"{'n_estimators': 1800, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_depth': 60, 'bootstrap': False}",42
digits,RandomForest,0.9371,"{'n_estimators': 1900, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 20, 'bootstrap': False}",43
digits,RandomForest,0.931,"{'n_estimators': 1300, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_depth': 60, 'bootstrap': True}",44
digits,RandomForest,0.9165,"{'n_estimators': 250, 'min_samples_split': 7, 'min_samples_leaf': 9, 'max_depth': 80, 'bootstrap': True}",45
digits,RandomForest,0.921,"{'n_estimators': 1350, 'min_samples_split': 9, 'min_samples_leaf': 8, 'max_depth': 40, 'bootstrap': True}",46
digits,RandomForest,0.9305,"{'n_estimators': 800, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_depth': 40, 'bootstrap': True}",47
digits,RandomForest,0.9277,"{'n_estimators': 250, 'min_samples_split': 6, 'min_samples_leaf': 8, 'max_depth': 60, 'bootstrap': False}",48
digits,RandomForest,0.9282,"{'n_estimators': 350, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_depth': 60, 'bootstrap': False}",49
digits,XGBoost,0.9293,"{'subsample': 0.9444444444444444, 'n_estimators': 850, 'max_depth': 3, 'learning_rate': 0.042222222222222223, 'colsample_bytree': 0.8888888888888888}",0
digits,XGBoost,0.9315,"{'subsample': 0.8888888888888888, 'n_estimators': 950, 'max_depth': 8, 'learning_rate': 0.1711111111111111, 'colsample_bytree': 0.9444444444444444}",1
digits,XGBoost,0.931,"{'subsample': 0.6111111111111112, 'n_estimators': 400, 'max_depth': 2, 'learning_rate': 0.23555555555555557, 'colsample_bytree': 0.8888888888888888}",2
digits,XGBoost,0.9254,"{'subsample': 0.7222222222222222, 'n_estimators': 750, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.8333333333333333}",3
digits,XGBoost,0.8687,"{'subsample': 1.0, 'n_estimators': 900, 'max_depth': 1, 'learning_rate': 0.01, 'colsample_bytree': 0.8888888888888888}",4
digits,XGBoost,0.9277,"{'subsample': 0.9444444444444444, 'n_estimators': 350, 'max_depth': 5, 'learning_rate': 0.1388888888888889, 'colsample_bytree': 0.8333333333333333}",5
digits,XGBoost,0.9232,"{'subsample': 0.8333333333333333, 'n_estimators': 850, 'max_depth': 1, 'learning_rate': 0.07444444444444444, 'colsample_bytree': 0.6666666666666666}",6
digits,XGBoost,0.9154,"{'subsample': 0.8888888888888888, 'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.9444444444444444}",7
digits,XGBoost,0.926,"{'subsample': 0.8333333333333333, 'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.2677777777777778, 'colsample_bytree': 1.0}",8
digits,XGBoost,0.9288,"{'subsample': 0.9444444444444444, 'n_estimators': 500, 'max_depth': 2, 'learning_rate': 0.042222222222222223, 'colsample_bytree': 0.7777777777777778}",9
digits,XGBoost,0.926,"{'subsample': 0.8888888888888888, 'n_estimators': 300, 'max_depth': 9, 'learning_rate': 0.1711111111111111, 'colsample_bytree': 0.8333333333333333}",10
digits,XGBoost,0.9332,"{'subsample': 0.7222222222222222, 'n_estimators': 850, 'max_depth': 8, 'learning_rate': 0.10666666666666666, 'colsample_bytree': 0.8888888888888888}",11
digits,XGBoost,0.9416,"{'subsample': 0.6666666666666666, 'n_estimators': 350, 'max_depth': 4, 'learning_rate': 0.3, 'colsample_bytree': 0.5}",12
digits,XGBoost,0.9238,"{'subsample': 0.5, 'n_estimators': 300, 'max_depth': 1, 'learning_rate': 0.1388888888888889, 'colsample_bytree': 0.6111111111111112}",13
digits,XGBoost,0.9349,"{'subsample': 0.5555555555555556, 'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.3, 'colsample_bytree': 0.6666666666666666}",14
digits,XGBoost,0.936,"{'subsample': 0.5, 'n_estimators': 200, 'max_depth': 9, 'learning_rate': 0.23555555555555557, 'colsample_bytree': 0.6666666666666666}",15
digits,XGBoost,0.9232,"{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.5}",16
digits,XGBoost,0.9355,"{'subsample': 0.7777777777777778, 'n_estimators': 400, 'max_depth': 9, 'learning_rate': 0.1388888888888889, 'colsample_bytree': 0.6666666666666666}",17
digits,XGBoost,0.9377,"{'subsample': 0.7777777777777778, 'n_estimators': 700, 'max_depth': 9, 'learning_rate': 0.23555555555555557, 'colsample_bytree': 0.6666666666666666}",18
digits,XGBoost,0.9271,"{'subsample': 0.5555555555555556, 'n_estimators': 950, 'max_depth': 1, 'learning_rate': 0.10666666666666666, 'colsample_bytree': 0.5}",19
digits,XGBoost,0.9282,"{'subsample': 0.7777777777777778, 'n_estimators': 950, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.8333333333333333}",20
digits,XGBoost,0.9327,"{'subsample': 0.7777777777777778, 'n_estimators': 950, 'max_depth': 8, 'learning_rate': 0.3, 'colsample_bytree': 0.7222222222222222}",21
digits,XGBoost,0.9243,"{'subsample': 0.7777777777777778, 'n_estimators': 850, 'max_depth': 4, 'learning_rate': 0.10666666666666666, 'colsample_bytree': 1.0}",22
digits,XGBoost,0.9254,"{'subsample': 0.9444444444444444, 'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.20333333333333334, 'colsample_bytree': 0.8888888888888888}",23
digits,XGBoost,0.9343,"{'subsample': 0.5, 'n_estimators': 900, 'max_depth': 6, 'learning_rate': 0.042222222222222223, 'colsample_bytree': 1.0}",24
digits,XGBoost,0.9299,"{'subsample': 0.9444444444444444, 'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.3, 'colsample_bytree': 0.7222222222222222}",25
digits,XGBoost,0.9271,"{'subsample': 0.8888888888888888, 'n_estimators': 900, 'max_depth': 6, 'learning_rate': 0.042222222222222223, 'colsample_bytree': 0.8888888888888888}",26
digits,XGBoost,0.9304,"{'subsample': 0.6666666666666666, 'n_estimators': 850, 'max_depth': 4, 'learning_rate': 0.23555555555555557, 'colsample_bytree': 0.9444444444444444}",27
digits,XGBoost,0.9349,"{'subsample': 0.6666666666666666, 'n_estimators': 950, 'max_depth': 3, 'learning_rate': 0.20333333333333334, 'colsample_bytree': 0.8888888888888888}",28
digits,XGBoost,0.9377,"{'subsample': 0.8888888888888888, 'n_estimators': 450, 'max_depth': 6, 'learning_rate': 0.042222222222222223, 'colsample_bytree': 0.5}",29
digits,XGBoost,0.9288,"{'subsample': 0.7777777777777778, 'n_estimators': 850, 'max_depth': 4, 'learning_rate': 0.07444444444444444, 'colsample_bytree': 0.8888888888888888}",30
digits,XGBoost,0.9288,"{'subsample': 0.7777777777777778, 'n_estimators': 900, 'max_depth': 4, 'learning_rate': 0.2677777777777778, 'colsample_bytree': 0.6666666666666666}",31
digits,XGBoost,0.9165,"{'subsample': 0.5555555555555556, 'n_estimators': 150, 'max_depth': 1, 'learning_rate': 0.20333333333333334, 'colsample_bytree': 0.8888888888888888}",32
digits,XGBoost,0.9321,"{'subsample': 0.7222222222222222, 'n_estimators': 550, 'max_depth': 5, 'learning_rate': 0.3, 'colsample_bytree': 0.7222222222222222}",33
digits,XGBoost,0.9254,"{'subsample': 0.7777777777777778, 'n_estimators': 150, 'max_depth': 6, 'learning_rate': 0.23555555555555557, 'colsample_bytree': 1.0}",34
digits,XGBoost,0.9282,"{'subsample': 0.8333333333333333, 'n_estimators': 150, 'max_depth': 8, 'learning_rate': 0.3, 'colsample_bytree': 0.8333333333333333}",35
digits,XGBoost,0.9321,"{'subsample': 0.7777777777777778, 'n_estimators': 900, 'max_depth': 4, 'learning_rate': 0.3, 'colsample_bytree': 0.6666666666666666}",36
digits,XGBoost,0.9343,"{'subsample': 0.8333333333333333, 'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.10666666666666666, 'colsample_bytree': 0.6666666666666666}",37
digits,XGBoost,0.9277,"{'subsample': 0.6666666666666666, 'n_estimators': 600, 'max_depth': 1, 'learning_rate': 0.3, 'colsample_bytree': 0.6666666666666666}",38
digits,XGBoost,0.9421,"{'subsample': 0.5555555555555556, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.2677777777777778, 'colsample_bytree': 0.5555555555555556}",39
digits,XGBoost,0.9304,"{'subsample': 0.8333333333333333, 'n_estimators': 650, 'max_depth': 9, 'learning_rate': 0.23555555555555557, 'colsample_bytree': 0.8333333333333333}",40
digits,XGBoost,0.9355,"{'subsample': 0.7222222222222222, 'n_estimators': 950, 'max_depth': 6, 'learning_rate': 0.20333333333333334, 'colsample_bytree': 0.5}",41
digits,XGBoost,0.9265,"{'subsample': 0.6111111111111112, 'n_estimators': 650, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.7222222222222222}",42
digits,XGBoost,0.9416,"{'subsample': 0.5, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.07444444444444444, 'colsample_bytree': 0.5}",43
digits,XGBoost,0.9366,"{'subsample': 0.8333333333333333, 'n_estimators': 950, 'max_depth': 3, 'learning_rate': 0.1388888888888889, 'colsample_bytree': 0.6111111111111112}",44
digits,XGBoost,0.9082,"{'subsample': 0.6666666666666666, 'n_estimators': 550, 'max_depth': 1, 'learning_rate': 0.042222222222222223, 'colsample_bytree': 0.7777777777777778}",45
digits,XGBoost,0.9232,"{'subsample': 1.0, 'n_estimators': 750, 'max_depth': 8, 'learning_rate': 0.07444444444444444, 'colsample_bytree': 0.9444444444444444}",46
digits,XGBoost,0.936,"{'subsample': 0.6111111111111112, 'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.1711111111111111, 'colsample_bytree': 0.5}",47
digits,XGBoost,0.9143,"{'subsample': 1.0, 'n_estimators': 600, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",48
digits,XGBoost,0.9321,"{'subsample': 0.9444444444444444, 'n_estimators': 650, 'max_depth': 8, 'learning_rate': 0.3, 'colsample_bytree': 0.6666666666666666}",49
wine,KNN,0.7756,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 12}",0
wine,KNN,0.7705,"{'weights': 'distance', 'p': 1, 'n_neighbors': 18}",1
wine,KNN,0.759,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 3}",2
wine,KNN,0.7138,"{'weights': 'distance', 'p': 2, 'n_neighbors': 13}",3
wine,KNN,0.6914,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 12}",4
wine,KNN,0.7759,"{'weights': 'distance', 'p': 1, 'n_neighbors': 19}",5
wine,KNN,0.6802,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 8}",6
