,n_estimators,min_samples_leaf,min_samples_split,df1,df2,df3,df4,mean_score
0,729.0,0.7862568008332224,0.06442274276569449,0.47840887874701793,0.4183855360325948,0.35750000000000004,0.37785552445688386,0.40803748480912416
1,729.0,0.1973480922404226,0.06442274276569449,0.4900145213152163,0.48824378236142946,0.37124999999999997,0.3779554844728775,0.4318659470373808
2,729.0,0.42522216057744733,0.06442274276569449,0.488082149154652,0.44644766997708174,0.36625,0.3835932293749167,0.4210932621266626
3,729.0,0.5323681068604014,0.06442274276569449,0.4838927497147599,0.4301205330617095,0.3625,0.3803411968545915,0.41421361990776523
4,729.0,0.825731597592893,0.06442274276569449,0.47809667046986826,0.4066675154910449,0.36124999999999996,0.38189390910302545,0.40697702376598466
5,729.0,0.36857016645120166,0.06442274276569449,0.48904366766932894,0.45429929547576603,0.36750000000000005,0.38273357323737167,0.42339413409561666
6,729.0,0.07803544355749004,0.06442274276569449,0.4951664765065865,0.4928231898820134,0.378125,0.3811008929761429,0.4368038898411857
7,729.0,0.4772846378237221,0.06442274276569449,0.48647339487605024,0.4471309736015618,0.36187500000000006,0.3802479008396641,0.41893181732931906
8,729.0,0.028161954862579552,0.06442274276569449,0.4954900943885489,0.48304473304473305,0.37687499999999996,0.3770091963214714,0.4331047559386883
9,729.0,0.5563038631503014,0.06442274276569449,0.48421533035992115,0.437318563789152,0.365625,0.3803411968545915,0.4168750227509162
10,729.0,0.7855614211285759,0.06442274276569449,0.47937558344570064,0.40858585858585855,0.36062500000000003,0.38927762228441953,0.4094660160789947
11,729.0,0.9372753976218298,0.06442274276569449,0.47293538014728764,0.4027629233511586,0.35750000000000004,0.3754564840730375,0.4021636968928709
12,729.0,0.097768868654315,0.06442274276569449,0.4925889430556996,0.48956794839147777,0.37,0.37463014794082367,0.43169675984700023
13,729.0,0.8380661894239233,0.06442274276569449,0.4751934446634166,0.41444699091757914,0.353125,0.3875916300146608,0.40758926639891413
14,729.0,0.06796594290988256,0.06442274276569449,0.49484285862462396,0.48824378236142946,0.37937499999999996,0.3713181394109023,0.4334449450992389
15,729.0,0.6661729773742862,0.06442274276569449,0.4845399854786847,0.4275528393175452,0.35875,0.37617619618819137,0.41175475524610533
16,729.0,0.05652055453707194,0.06442274276569449,0.4948459703350275,0.48629148629148633,0.36500000000000005,0.3753965080634413,0.4303834911724888
17,729.0,0.34893856309691973,0.06442274276569449,0.4880842236282543,0.4562346150581444,0.371875,0.38026122884179664,0.4241137668820488
18,729.0,0.7913130859112716,0.06442274276569449,0.47938595581371235,0.4190561072914013,0.36,0.385099293615887,0.41088533918025016
19,729.0,0.978179340179546,0.06442274276569449,0.46681568302043364,0.40468551056786356,0.3524999999999999,0.3835865653738505,0.401896939740537
20,729.0,0.02574462184416726,0.06442274276569449,0.4932320298724199,0.49085391732450556,0.381875,0.3754031720645075,0.4353410298153582
21,729.0,0.9514980570213167,0.06442274276569449,0.47326107250285243,0.40664629488158904,0.354375,0.3762161801945888,0.4026246368947576
22,729.0,0.7400939891619083,0.06442274276569449,0.475201742557826,0.4203548085901027,0.35812499999999997,0.37542316406770626,0.40727617880390876
23,729.0,0.121002565314553,0.06442274276569449,0.4932320298724199,0.47324929971988794,0.380625,0.37127815540450493,0.4295961212492032
24,729.0,0.7571386753573011,0.06442274276569449,0.4816377969090343,0.41969696969696973,0.36124999999999996,0.38841796614687457,0.4127506831882196
25,729.0,0.7698517446676066,0.06442274276569449,0.47744424852193756,0.41317375435022496,0.35687499999999994,0.36880581100892973,0.4040747034702731
26,729.0,0.4683510545065134,0.06442274276569449,0.48646717145524326,0.43667345726169254,0.3625,0.37539650806344127,0.4152592841950943
27,729.0,0.8119448319282985,0.06442274276569449,0.4768146457836324,0.41383159324335794,0.35375,0.3778421964547514,0.4055596088704354
28,729.0,0.3175374123166683,0.06442274276569449,0.4877533450886838,0.45625583566760036,0.36375,0.3827469012395042,0.42262652049894706
29,729.0,0.021966580252907653,0.06442274276569449,0.4974235037859144,0.48825651472710296,0.385,0.3819139011062242,0.43814847990481043
30,729.0,0.00959697299999851,0.06442274276569449,0.49548698267814545,0.48824378236142946,0.37937499999999996,0.3762161801945888,0.43483048630854093
31,729.0,0.9645661849646316,0.06442274276569449,0.47389171247795875,0.412541380188439,0.35812499999999997,0.3851725976276156,0.40743267257350335
32,729.0,0.6070561891209897,0.06442274276569449,0.4842153303599212,0.427548595195654,0.36,0.37701586032253764,0.41219494646952826
33,729.0,0.4851265695933137,0.06442274276569449,0.4874369878643294,0.4464858670741023,0.36875,0.37385045981607357,0.4191308286886264
34,729.0,0.906731296290077,0.06442274276569449,0.4722850326729593,0.4131949749596808,0.35500000000000004,0.3909436225509796,0.40785590754590495
35,729.0,0.2791544324952797,0.06442274276569449,0.48968779172285026,0.4614803497156438,0.374375,0.3843595894975343,0.42747568273400705
36,729.0,0.4833784564669479,0.06442274276569449,0.4874307644435225,0.442530345471522,0.36375,0.3794882047181128,0.4182998286582893
37,729.0,0.7328284250914986,0.06442274276569449,0.48001867026242084,0.4275146422205246,0.35687499999999994,0.38359322937491674,0.4120003854644655
38,729.0,0.8310036729654976,0.06442274276569449,0.4742267399647339,0.40992275698158054,0.36124999999999996,0.38115420498467284,0.40663842548274676
39,729.0,0.4481033697933454,0.06442274276569449,0.4874318016803236,0.43997113997114,0.361875,0.3884712781554045,0.419437304951717
40,729.0,0.877054850254178,0.06442274276569449,0.4758334197697335,0.4099057804940157,0.355625,0.3835732373717179,0.40623435940886676
41,729.0,0.13702787610767508,0.06442274276569449,0.49323825329322685,0.48042610983787454,0.38249999999999995,0.37459016393442623,0.4326886317663819
42,729.0,0.6708519405378703,0.06442274276569449,0.4832538118452443,0.42230710466004584,0.358125,0.3803078768492603,0.4109984483386376
43,729.0,0.8865954098263308,0.06442274276569449,0.47327248210766515,0.4177574059927001,0.353125,0.39010395841663337,0.4085647116292497
44,729.0,0.6461328241514072,0.06442274276569449,0.4806648687895446,0.4249342161106867,0.35375000000000006,0.37617619618819137,0.40888132027210566
45,729.0,0.025332694194698302,0.06442274276569449,0.4967773052587906,0.4902088107970461,0.38062500000000005,0.379494868719179,0.4367764961937539
46,729.0,0.6235114008637425,0.06442274276569449,0.485509801887771,0.4249766573295985,0.356875,0.3852059176329468,0.41314184421257905
47,729.0,0.08500288805540968,0.06442274276569449,0.49548905715174774,0.48431372549019613,0.3725,0.374610155937625,0.4317282346448922
48,729.0,0.40212404599493734,0.06442274276569449,0.48775438232548496,0.4425218572277395,0.375625,0.3811475409836066,0.42176219513420776
49,729.0,0.559469423234673,0.06442274276569449,0.4858251218753241,0.4288345641286818,0.36312500000000003,0.3827668932427029,0.41513789481167723
